file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1187,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""int"")"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1188,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""int"")"
fabric\main.py,load_tasks_from_module,182,197,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,189,assignment," Incompatible types in assignment (expression has type ""List[Tuple[str, Any]]"", variable has type ""Dict[str, Any]"")"
fabric\main.py,load_tasks_from_module,182,197,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,192,assignment," Incompatible types in assignment (expression has type ""List[Tuple[str, Any]]"", variable has type ""Dict[str, Any]"")"
tests\mock_streams.py,mock_streams,33,83,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,68,assignment," Incompatible types in assignment (expression has type ""StringIO[str]"", variable has type ""CarbonCopy"")"
tests\server.py,_socket_info,154,175,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,173,assignment," Incompatible types in assignment (expression has type ""Tuple[int, int, int, str, Tuple[Any, ...]]"", variable has type ""int"")"
integration\test_contrib.py,rsync,94,103,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,97,reference,remote,"str,int"
integration\test_contrib.py,rsync,94,103,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,99,reference,remote,"str,int"
tests\fake_filesystem.py,__cmp__,40,42,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,42,reference,me,"FakeFile,str"
tests\Python26SocketServer.py,process_request,523,544,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,527,reference,pid,"int,file"
tests\Python26SocketServer.py,process_request,523,544,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,531,reference,pid,"int,file"
tests\server.py,chattr,316,328,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,324,reference,which,"str,list"
tests\server.py,chattr,316,328,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,325,reference,attname,"str,list"
tests\server.py,chattr,316,328,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,327,reference,attname,"str,list"
tests\server.py,list_folder,273,285,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,285,reference,bad,"list,int"
tests\test_decorators.py,test_with_settings_passes_env_vars_into_decorated_function,265,272,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,272,reference,decorated_task,"function,WrappedCallableTask"
tests\test_main.py,test_implicit_discovery,453,462,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,460,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_implicit_discovery,453,462,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,461,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_implicit_discovery,453,462,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,462,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_task_decorator_plays_well_with_others,529,537,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,537,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_task_decorator_plays_well_with_others,529,537,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,537,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_flat_aliases,423,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,427,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_flat_aliases,423,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,428,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_flat_aliases,423,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,429,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_flat_aliases,423,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,430,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_class_based_tasks_are_found_with_variable_name,496,507,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,505,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_class_based_tasks_are_found_with_variable_name,496,507,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,506,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_class_based_tasks_are_found_with_variable_name,496,507,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,507,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_nested_alias,414,421,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,418,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_nested_alias,414,421,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,419,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_nested_alias,414,421,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,420,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_nested_alias,414,421,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,421,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_class_based_tasks_are_found_with_proper_name,485,494,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,493,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_class_based_tasks_are_found_with_proper_name,485,494,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,494,reference,funcs,"_Dict,str,dict"
tests\test_main.py,list_output,550,555,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,554,reference,tasks,"_Dict,str,dict"
tests\test_main.py,list_output,550,555,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,555,reference,docstring,"_Dict,str,dict"
tests\test_main.py,eq_output,544,547,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,546,reference,docstring,"_Dict,str,dict"
tests\test_main.py,test_explicit_discovery,464,473,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,471,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_explicit_discovery,464,473,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,472,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_explicit_discovery,464,473,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,473,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_should_load_decorated_tasks_only_if_one_is_found,475,483,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,482,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_should_load_decorated_tasks_only_if_one_is_found,475,483,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,483,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_default_task_loading,670,675,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,675,reference,tasks,"_Dict,str,dict"
tests\test_main.py,test_nested_aliases,432,440,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,436,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_nested_aliases,432,440,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,437,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_nested_aliases,432,440,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,438,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_nested_aliases,432,440,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,439,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_nested_aliases,432,440,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,440,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_flat_alias,406,412,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,410,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_flat_alias,406,412,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,411,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_flat_alias,406,412,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,412,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_newstyle_task_presence_skips_classic_task_modules,519,527,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,526,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_newstyle_task_presence_skips_classic_task_modules,519,527,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,527,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_recursion_steps_into_nontask_modules,509,517,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,516,reference,funcs,"_Dict,str,dict"
tests\test_main.py,test_recursion_steps_into_nontask_modules,509,517,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,517,reference,funcs,"_Dict,str,dict"
tests\test_network.py,_prompt_display,357,390,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,390,reference,expected,"str,dict"
tests\test_network.py,test_consecutive_sudos_should_not_have_blank_line,392,422,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,422,reference,expected,"str,dict"
tests\test_network.py,test_io_should_not_print_prefix_if_ouput_prefix_is_false,484,511,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,511,reference,expected,"str,dict"
tests\test_network.py,test_silent_commands_should_not_have_blank_line,424,454,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,454,reference,expected,"str,dict"
tests\test_network.py,test_trailing_newline_line_drop,251,269,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,262,reference,output_string,"str,list"
tests\test_network.py,test_trailing_newline_line_drop,251,269,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,269,reference,output_string,"str,list"
tests\test_network.py,test_passphrase_prompt_displays_host_string,330,343,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,343,reference,regex,"str,tuple"
tests\test_network.py,test_io_should_print_prefix_if_ouput_prefix_is_true,456,482,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,482,reference,expected,"str,dict"
tests\test_network.py,test_just_ssh_config,680,687,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,686,reference,val,"str,list"
tests\test_network.py,test_password_prompt_displays_host_string,316,328,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,328,reference,regex,"str,tuple"
tests\test_operations.py,test_get_from_empty_directory_uses_cwd,619,629,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,629,reference,x,"str,list"
tests\test_operations.py,test_local_output_and_capture,1071,1090,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1088,reference,d,"str,tuple"
tests\test_operations.py,test_local_output_and_capture,1071,1090,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1090,reference,description,"str,tuple"
tests\test_parallel.py,test_env_host_no_user_or_port,25,39,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,39,reference,host_string,"str,tuple"
tests\test_parallel.py,test_env_host_no_user_or_port,25,39,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,39,reference,host_string,"str,tuple"
tests\test_tasks.py,test_aliases_are_set_based_on_provided_aliases,120,123,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,123,reference,a,"str,int"
tests\test_tasks.py,test_aliases_are_set_based_on_provided_aliases,120,123,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,123,reference,a,"str,int"
tests\test_tasks.py,test_dispatches_to_wrapped_callable_on_run,84,88,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,88,reference,random_value,"str,int"
tests\test_tasks.py,test_takes_an_alias_kwarg_and_wraps_it_in_aliases_list,115,118,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,117,reference,random_alias,"str,int"
tests\test_tasks.py,test_takes_an_alias_kwarg_and_wraps_it_in_aliases_list,115,118,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,118,reference,random_alias,"str,int"
tests\test_tasks.py,test_name_is_the_name_of_the_wrapped_callable,67,71,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,71,reference,name,"str,int"
tests\test_tasks.py,test_name_is_the_name_of_the_wrapped_callable,67,71,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,71,reference,__name__,"str,int"
tests\test_tasks.py,test_reads_double_under_doc_from_callable,78,82,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,82,reference,__doc__,"str,int"
tests\test_tasks.py,test_reads_double_under_doc_from_callable,78,82,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,82,reference,__doc__,"str,int"
tests\test_tasks.py,test_dispatches_to_wrapped_callable_on_run,84,88,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,86,reference,random_value,"str,int"
tests\test_utils.py,test_indent_with_strip,43,55,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,54,reference,input,"str,int"
tests\utils.py,eq_,147,171,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,170,reference,default_msg,"str,dict"
tests\utils.py,eq_,147,171,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,170,reference,aka,"str,dict"
tests\utils.py,eq_,147,171,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,171,reference,default_msg,"str,dict"
fabric\context_managers.py,_setenv,117,157,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,153,delsubscript
fabric\context_managers.py,_setenv,117,157,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,157,delsubscript
fabric\decorators.py,serial,146,159,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,157,getattr
fabric\docs.py,unwrap_tasks,4,57,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,54,getattr
fabric\io.py,__init__,36,50,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,41,getattr
fabric\io.py,__init__,36,50,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,46,getattr
fabric\io.py,loop,61,172,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,158,delsubscript
fabric\io.py,prompt,174,207,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,181,delsubscript
fabric\main.py,load_fabfile,135,179,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,163,delsubscript
fabric\main.py,load_fabfile,135,179,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,168,delsubscript
fabric\main.py,load_fabfile,135,179,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,172,delsubscript
fabric\main.py,main,588,761,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,620,getattr
fabric\network.py,disconnect_all,654,671,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,669,delsubscript
fabric\operations.py,require,70,136,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,132,getattr
fabric\sftp.py,_format_local,18,25,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,25,getattr
fabric\sftp.py,__getattr__,37,38,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,38,getattr
fabric\state.py,default_channel,392,407,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,401,delsubscript
fabric\tasks.py,get_hosts_and_effective_roles,101,127,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,117,getattr
fabric\tasks.py,get_hosts_and_effective_roles,101,127,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,118,getattr
fabric\tasks.py,get_pool_size,129,142,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,135,getattr
fabric\tasks.py,__getattr__,176,177,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,177,getattr
fabric\tasks.py,requires_parallel,186,198,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,197,getattr
fabric\tasks.py,requires_parallel,186,198,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,198,getattr
fabric\tasks.py,execute,282,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,344,getattr
fabric\tasks.py,execute,282,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,345,getattr
fabric\task_utils.py,crawl,21,33,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,26,getattr
fabric\utils.py,isatty,18,26,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,23,getattr
fabric\utils.py,append,382,385,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,384,delsubscript
fabric\utils.py,extend,387,391,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,390,delsubscript
tests\mock_streams.py,mock_streams,33,83,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,81,delattribute
tests\server.py,chattr,316,328,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,325,getattr
tests\test_decorators.py,test_parallel_tasks,196,209,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,209,delattribute
tests\test_main.py,setup,444,451,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,451,delsubscript
tests\test_main.py,test_list_output,557,579,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,579,delattribute
tests\test_main.py,test_task_names,597,628,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,628,delattribute
tests\test_main.py,test_crawl,631,640,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,640,delattribute
tests\test_main.py,test_default_task_listings,651,667,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,667,delattribute
tests\test_network.py,test_host_string_normalization,34,48,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,48,delattribute
tests\test_network.py,test_normalization_for_ipv6,50,71,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,71,delattribute
tests\test_network.py,test_normalization_of_empty_input,116,125,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,125,delattribute
tests\test_network.py,test_host_string_denormalization,127,143,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,143,delattribute
tests\test_network.py,test_connection_cache_deletion,181,197,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,195,delsubscript
tests\test_operations.py,test_shell_wrap,231,247,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,247,delattribute
tests\test_operations.py,test_local_output_and_capture,1071,1090,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1090,delattribute
tests\test_server.py,test_list_folder,22,98,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,98,delattribute
tests\test_tasks.py,test_should_not_abort_if_task_name_not_found_with_skip,214,221,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,221,delsubscript
tests\test_utils.py,test_indent,31,40,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,40,delattribute
tests\test_utils.py,test_indent_with_strip,43,55,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,55,delattribute
